,results
1565,"Sentence[112]: ""You will have the ability to identify requirements scope your research  develop prototypes  and deliver solutions that directlyprovide value to the business What we look forRequiredEducation and Experience Theposition requires a Master s Degree in a technical field like OperationsResearch  Math  Statistics  Computer Science  or Data Science from a respectedUniversity Candidateswith a PhD in a technical  STEM  field are strongly preferred Thisposition requires at least 5 years of experience in an R D role related to DataScience and AnalyticsRequiredSkills Deep proven expertise in Data Science and Analytics  Deterministic and StochasticOptimization  Modeling and Simulation  Statistics  and probability analysisAbilityto develop  evaluate  and present quantitative modelsHands onexperience in data pipeline and storage frameworks  i e"" → [""research""/In-SK, ""Statistics""/In-SK, ""Computer""/In-SK, ""Science""/In-SK, ""Data""/In-SK, ""Science""/In-SK, ""R""/In-SK, ""Data""/In-SK, ""Science""/In-SK, ""Analytics""/In-SK, ""Modeling""/In-SK, ""Statistics""/In-SK, ""data""/In-SK]"
1566,"Sentence[32]: ""The successfulcandidate will have both breadth and depth of technical knowledge in several domainsand will design a wide range of system building blocks that constitute complete industry leading end to end solutions"" → [""design""/In-SK]"
1567,"Sentence[87]: ""This is our North America hub for research andinnovation The Innovation Organization at OSRAM is looking for a passionate creative  visionary and hands on technical leader to join a highly influential growing engineering team that is responsible for architecting and designing thenext generation of cutting edge  state of the art IoT systems and solutions In this role  you will drive the complete end to end cloud basedIoT systems architecture for a variety of unique  high impact consumer andbusiness applications that will be implemented on a global scale"" → [""research""/In-SK, ""Innovation""/In-SK, ""engineering""/In-SK, ""art""/In-SK, ""IoT""/In-SK, ""architecture""/In-SK]"
1568,"Sentence[37]: ""This will include  but not be limitedto  the intersection of embedded systems architecture  operating systemsinternals and device drivers as well as IoT and wireless protocols andtechnologies At OSRAM  customer obsession is a key driving force for us"" → [""embedded""/In-SK, ""systems""/In-SK, ""architecture""/In-SK, ""IoT""/In-SK, ""wireless""/In-SK]"
1569,"Sentence[59]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00078687 Principal IoT Systems ArchitectUS MA BeverlyYour new responsibilitiesPrincipal IoT SystemsArchitectOSRAM is leading the revolution that drives the intersection ofthe physical and digital world around us  creating excellent value for ourcustomers and constantly contributing to the betterment of society"" → [""management""/In-SK, ""IoT""/In-SK, ""IoT""/In-SK]"
1570,"Sentence[23]: ""Job Description   Principal IoT Systems Architect  00078687  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""IoT""/In-SK, ""fire""/In-SK]"
1571,"Sentence[14]: ""OSRAM s Innovation center is located in Beverly  Massachusetts 25 miles North of Boston"" → [""Innovation""/In-SK]"
1572,"Sentence[427]: ""The Principal Architect will workvery closely with customer facing Business Unit leaders  Engineering Teamleaders  as well as external partners to create unique IoT based platforms andsolutions that differentiate OSRAM in the industry PRIMARY RESPONSIBILITIES Full ownership for architecting differentiating end to end cloud basedIoT platforms and solutions that provide unique  high value for our customers Lead the overall cloud based IoT ecosystem strategy whilepartnering closely with Business Unit leaders to determine value propositions architectural vision and roadmaps Lead the hands on design  development and validation of avariety of proof of concept projects and demonstrations that align with theInnovation Organization s roadmap Drive the requirements engineering process in an agile mannerfor translating business level use cases to clear technical requirements Demonstrate and share expertise and deep technical knowledge inthe following areas  Full IoT technology stack for      a variety of applications Common module interfaces and      related wireless communication protocols   Z Wave  ZigBee  802 15 4        BLE  DECT  802 11 x Infrastructure       identification  communication   transport  HTTP2  MQTT  CoAP   discovery       data protocols  device management  semantic layers and security Multi layer frameworks       expertise is a strong plus Embedded systems and      platforms  including SoC and bus architectures  memory and various      platform components and interfaces  as well as low level boot up firmware      design ARM architecture expertise is       a strong plus Operating system      architectures  kernel internals and a variety of device driver      interfaces Expertise in any variant of       Linux  or similar OS  is a strong plus Identify opportunities for Intellectual Property development andlead the patent generation process for the team Ability to deal with ambiguity  learn new technologies and rampup quickly is key to being successful in this role Excellent communication skills  with the ability to presentregularly to cross functional teams across the organization and translatecomplex technical concepts into simple and succinct details is a strongrequirement for this role What we look forREQUIRED QUALIFICATIONS Experience with machine     learning  data analytics and related technologies is a strong plus Experience with Model based     Systems Engineering  MBSE  techniques and processes  including any     model based language  SysML  OMG SysML  UML 2 x  is a strong plus Any one of the following     educational qualifications is required Master s Degree in Computer      Science  or related field  with at least 8  years of experience in      architecting end to end platforms and / or solutions with large scale      deployments Bachelor s Degree in Computer      Science  or related field  with at least 10  years of experience in      architecting end to end platforms and / or solutions with large scale      deployments Interested in this position  If so  please apply online in our job portal"" → [""Engineering""/In-SK, ""IoT""/In-SK, ""IoT""/In-SK, ""strategy""/In-SK, ""vision""/In-SK, ""design""/In-SK, ""engineering""/In-SK, ""agile""/In-SK, ""translating""/In-SK, ""IoT""/In-SK, ""wireless""/In-SK, ""communication""/In-SK, ""communication""/In-SK, ""management""/In-SK, ""security""/In-SK, ""Embedded""/In-SK, ""systems""/In-SK, ""boot""/In-SK, ""design""/In-SK, ""architecture""/In-SK, ""Linux""/In-SK, ""Intellectual""/In-SK, ""Property""/In-SK, ""communication""/In-SK, ""skills""/In-SK, ""cross""/In-SK, ""functional""/In-SK, ""machine""/In-SK, ""learning""/In-SK, ""data""/In-SK, ""analytics""/In-SK, ""Engineering""/In-SK, ""UML""/In-SK, ""Computer""/In-SK, ""Science""/In-SK, ""Computer""/In-SK, ""Science""/In-SK]"
1573,"Sentence[22]: ""Job Description   Senior Software Engineer  10003848  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1574,"Sentence[218]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 10003848 Senior Software EngineerCA ON MarkhamYour new responsibilitiesDo you want to shape the future of light Osram s Light Management Systems team is looking for EmbeddedDevelopers that care as much about technology as they do for the user sexperience What you ll be doingBuild systems that set up and control Smart BuildingsPush yourself  have the drive to build award winningsoftwareParticipate in a collaborative environment with across functional teamBuild with APIs and shareable functionality in mindBuild out functionality that balances user experience stability and performanceWhat we look forWhat you ve donedeveloped a healthy sense of humour5  years work in a development role2  years experience in an embedded role5  years of C   work3  years in an Object Oriented EnvironmentDegree in computer engineering / science or equivalent workexperienceUnderstood the engineering aspects of software development unit testing  continuous integration  API version compatibilities  codereviews  design docs Benchmarked  debugged and profiled applicationsThrived in an agile  iterative  things will change oftenenvironmentWhat you ve picked upC  OOLinuxScripting LanguagesTCP/IPNetwork connectivity managementWould be nice if you knewLinux inside and outEmbedded Linux developmentPythonConnected  event driven systemsOther types of development  web  mobile  desktop About Osram TBHInterested in this position  If so  please apply online in our job portal"" → [""management""/In-SK, ""Software""/In-SK, ""Management""/In-SK, ""user""/In-SK, ""user""/In-SK, ""experience""/In-SK, ""development""/In-SK, ""experience""/In-SK, ""C""/In-SK, ""computer""/In-SK, ""engineering""/In-SK, ""science""/In-SK, ""engineering""/In-SK, ""software""/In-SK, ""development""/In-SK, ""unit""/In-SK, ""testing""/In-SK, ""continuous""/In-SK, ""integration""/In-SK, ""API""/In-SK, ""design""/In-SK, ""agile""/In-SK, ""Linux""/In-SK, ""development""/In-SK]"
